attacker,victim,data,HR@10,HR@10_attack,HR@20,HR@20_attack,HR@50,HR@50_attack,HR@100,HR@100_attack
aush,mf,ml1m,0.00020366598778004074,0.001120162932790224,0.0014256619144602852,0.014765784114052953,0.08625254582484725,0.4844195519348269,0.5,0.5
aia,mf,ml1m,0.00020366598778004074,0.003564154786150713,0.0014256619144602852,0.03879837067209776,0.08625254582484725,0.5,0.5,0.5
aushplus,mf,ml1m,0.00020366598778004074,0.0009164969450101833,0.0014256619144602852,0.013034623217922607,0.08625254582484725,0.44226069246435845,0.5,0.5
random,ncf,ml1m,0.005906313645621181,0.004276985743380856,0.023523421588594703,0.017515274949083504,0.14613034623217921,0.11690427698574338,0.3225050916496945,0.3268839103869654
segment,ncf,ml1m,0.005906313645621181,0.00560081466395112,0.023523421588594703,0.02413441955193483,0.14613034623217921,0.15224032586558045,0.3225050916496945,0.31160896130346233
bandwagon,ncf,ml1m,0.005906313645621181,0.004684317718940937,0.023523421588594703,0.02454175152749491,0.14613034623217921,0.14796334012219958,0.3225050916496945,0.3033604887983707
average,ncf,ml1m,0.005906313645621181,0.004276985743380856,0.023523421588594703,0.017515274949083504,0.14613034623217921,0.11690427698574338,0.3225050916496945,0.3268839103869654
aush,ncf,ml1m,0.005906313645621181,0.010183299389002037,0.023523421588594703,0.03391038696537678,0.14613034623217921,0.1754582484725051,0.3225050916496945,0.3324847250509165
aia,ncf,ml1m,0.005906313645621181,0.02494908350305499,0.023523421588594703,0.08217922606924644,0.14613034623217921,0.24918533604887982,0.3225050916496945,0.3719959266802444
aushplus,ncf,ml1m,0.005906313645621181,0.015173116089613034,0.023523421588594703,0.057128309572301424,0.14613034623217921,0.24429735234215885,0.3225050916496945,0.3776985743380855
random,lightgcn,ml1m,0.00010183299389002037,0.0004073319755600815,0.0007128309572301426,0.0010183299389002036,0.00560081466395112,0.005295315682281059,0.12606924643584522,0.035641547861507125
segment,lightgcn,ml1m,0.00010183299389002037,0.0004073319755600815,0.0007128309572301426,0.0014256619144602852,0.00560081466395112,0.004786150712830957,0.12606924643584522,0.026782077393075355
bandwagon,lightgcn,ml1m,0.00010183299389002037,0.0004073319755600815,0.0007128309572301426,0.0014256619144602852,0.00560081466395112,0.004786150712830957,0.12606924643584522,0.026782077393075355
average,lightgcn,ml1m,0.00010183299389002037,0.0004073319755600815,0.0007128309572301426,0.0010183299389002036,0.00560081466395112,0.005295315682281059,0.12606924643584522,0.035641547861507125
aush,lightgcn,ml1m,0.00010183299389002037,0.0007128309572301426,0.0007128309572301426,0.001934826883910387,0.00560081466395112,0.006109979633401222,0.12606924643584522,0.049287169042769856
aia,lightgcn,ml1m,0.00010183299389002037,0.0004073319755600815,0.0007128309572301426,0.001120162932790224,0.00560081466395112,0.004480651731160896,0.12606924643584522,0.030855397148676172
aushplus,lightgcn,ml1m,0.00010183299389002037,0.0003054989816700611,0.0007128309572301426,0.0012219959266802445,0.00560081466395112,0.005193482688391039,0.12606924643584522,0.04837067209775967
---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
segment,mf,game,0.0,0.00015832805573147562,0.0,1.0,0.0,1.0,0.0,1.0
bandwagon,mf,game,0.0,0.02089930335655478,0.0,1.0,0.0,1.0,0.0,1.0
average,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
aush,mf,game,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0
aia,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017416086130463
aushplus,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
random,ncf,game,0.0014249525015832805,0.008074730842305257,0.003641545281823939,0.013774540848638378,0.010291323622545916,0.03261557948068398,0.024065864471184292,0.06253958201393287
segment,ncf,game,0.0014249525015832805,0.0017416086130462318,0.003641545281823939,0.0037998733375554147,0.010291323622545916,0.007283090563647878,0.024065864471184292,0.013616212792906902
bandwagon,ncf,game,0.0014249525015832805,0.00031665611146295124,0.003641545281823939,0.0018999366687777073,0.010291323622545916,0.006333122229259025,0.024065864471184292,0.014882837238758708
average,ncf,game,0.0014249525015832805,0.008074730842305257,0.003641545281823939,0.013774540848638378,0.010291323622545916,0.03261557948068398,0.024065864471184292,0.06253958201393287
aush,ncf,game,0.0014249525015832805,0.01266624445851805,0.003641545281823939,0.020107663077897405,0.010291323622545916,0.039898670044331855,0.024065864471184292,0.06633945535148829
aia,ncf,game,0.0014249525015832805,0.006174794173527549,0.003641545281823939,0.013457884737175428,0.010291323622545916,0.03008233058898037,0.024065864471184292,0.05050664977834072
aushplus,ncf,game,0.0014249525015832805,0.008074730842305257,0.003641545281823939,0.018841038632045597,0.010291323622545916,0.04243191893603546,0.024065864471184292,0.07726409119696011
